age,q_total,p_survive_to_next
20,0.0009493204997852445,0.9990506795002148
21,0.0010648098541423678,0.9989351901458576
22,0.0011698512826114893,0.9988301487173885
23,0.001258579082787037,0.998741420917213
24,0.0013349205255508423,0.9986650794744492
25,0.00140560872387141,0.9985943912761286
26,0.001479519996792078,0.9985204800032079
27,0.001560034928843379,0.9984399650711566
28,0.0016509155975654721,0.9983490844024345
29,0.0017488336889073253,0.9982511663110927
30,0.0018492544768378139,0.9981507455231622
31,0.001946534845046699,0.9980534651549533
32,0.002039701445028186,0.9979602985549718
33,0.002128043444827199,0.9978719565551728
34,0.0022155633196234703,0.9977844366803765
35,0.0023080913815647364,0.9976919086184353
36,0.002409243257716298,0.9975907567422837
37,0.0025188392028212547,0.9974811607971787
38,0.0026382727082818747,0.9973617272917181
39,0.0027682569343596697,0.9972317430656403
40,0.0029164908919483423,0.9970835091080517
41,0.003078484907746315,0.9969215150922537
42,0.003243524581193924,0.9967564754188061
43,0.0034096529707312584,0.9965903470292687
44,0.003587225219234824,0.9964127747807652
45,0.0037920207250863314,0.9962079792749137
46,0.004035838879644871,0.9959641611203551
47,0.004315248690545559,0.9956847513094544
48,0.004625073168426752,0.9953749268315732
49,0.004959340672940016,0.99504065932706
50,0.005307620856910944,0.9946923791430891
51,0.005685651674866676,0.9943143483251333
52,0.006117654498666525,0.9938823455013335
53,0.006619505118578672,0.9933804948814213
54,0.007184223271906376,0.9928157767280936
55,0.00776646938174963,0.9922335306182504
56,0.008369085378944874,0.9916309146210551
57,0.009041761048138142,0.9909582389518619
58,0.009794997051358223,0.9902050029486418
59,0.010606326162815094,0.9893936738371849
60,0.011466973461210728,0.9885330265387893
61,0.012333479709923267,0.9876665202900767
62,0.013173462823033333,0.9868265371769667
63,0.01398074347525835,0.9860192565247416
64,0.014797933399677277,0.9852020666003227
65,0.0156656913459301,0.9843343086540699
66,0.01672566868364811,0.9832743313163519
67,0.017852839082479477,0.9821471609175205
68,0.019122175872325897,0.9808778241276741
69,0.020525803789496422,0.9794741962105036
70,0.021919380873441696,0.9780806191265583
71,0.023536447435617447,0.9764635525643826
72,0.025372466072440147,0.9746275339275599
73,0.027616243809461594,0.9723837561905384
74,0.0298890620470047,0.9701109379529953
75,0.03372582048177719,0.9662741795182228
76,0.03693345561623573,0.9630665443837643
77,0.0410163439810276,0.9589836560189724
78,0.04475826025009155,0.9552417397499084
79,0.049530111253261566,0.9504698887467384
80,0.05411972105503082,0.9458802789449692
81,0.05948252975940704,0.940517470240593
82,0.06540139019489288,0.9345986098051071
83,0.07222437113523483,0.9277756288647652
84,0.08060851693153381,0.9193914830684662
85,0.08913923054933548,0.0
